23-6-2021 21:02:52 -  count=14 step=1 time=72412628 y=696 y_last=696
23-6-2021 21:02:52 - Ch=3 size=230 tt=20:06:52.628 x=0 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=254 tt=20:06:52.628 x=112 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=268 tt=20:06:52.628 x=224 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=282 tt=20:06:52.628 x=336 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=244 tt=20:06:52.628 x=448 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=222 tt=20:06:52.628 x=560 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=276 tt=20:06:52.628 x=672 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=264 tt=20:06:52.628 x=784 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=260 tt=20:06:52.628 x=896 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=274 tt=20:06:52.628 x=1008 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=196 tt=20:06:52.628 x=1120 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=370 tt=20:06:52.628 x=1232 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=332 tt=20:06:52.628 x=1344 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=458 tt=20:06:52.628 x=1456 Q.f=65520 Q.v=92
23-6-2021 21:02:52 -  count=14 step=1 time=72413860 y=704 y_last=704
23-6-2021 21:02:52 - Ch=3 size=226 tt=20:06:53.860 x=0 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=248 tt=20:06:53.860 x=112 Q.f=65520 Q.v=92
23-6-2021 21:02:52 - Ch=3 size=318 tt=20:06:53.860 x=224 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=324 tt=20:06:53.860 x=336 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=240 tt=20:06:53.860 x=448 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=244 tt=20:06:53.860 x=560 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=256 tt=20:06:53.860 x=672 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=248 tt=20:06:53.860 x=784 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=256 tt=20:06:53.860 x=896 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=296 tt=20:06:53.860 x=1008 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=206 tt=20:06:53.860 x=1120 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=344 tt=20:06:53.860 x=1232 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=356 tt=20:06:53.860 x=1344 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=484 tt=20:06:53.860 x=1456 Q.f=65520 Q.v=92
23-6-2021 21:02:53 -  count=14 step=1 time=72415088 y=712 y_last=712
23-6-2021 21:02:53 - Ch=3 size=368 tt=20:06:55.088 x=0 Q.f=65520 Q.v=96
23-6-2021 21:02:53 - Ch=3 size=352 tt=20:06:55.088 x=112 Q.f=65520 Q.v=95
23-6-2021 21:02:53 - Ch=3 size=384 tt=20:06:55.088 x=224 Q.f=65520 Q.v=94
23-6-2021 21:02:53 - Ch=3 size=366 tt=20:06:55.088 x=336 Q.f=65520 Q.v=93
23-6-2021 21:02:53 - Ch=3 size=258 tt=20:06:55.088 x=448 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=236 tt=20:06:55.088 x=560 Q.f=65520 Q.v=91
23-6-2021 21:02:53 - Ch=3 size=232 tt=20:06:55.088 x=672 Q.f=65520 Q.v=90
23-6-2021 21:02:53 - Ch=3 size=222 tt=20:06:55.088 x=784 Q.f=65520 Q.v=89
23-6-2021 21:02:53 - Ch=3 size=198 tt=20:06:55.088 x=896 Q.f=65520 Q.v=88
23-6-2021 21:02:53 - Ch=3 size=258 tt=20:06:55.088 x=1008 Q.f=65520 Q.v=87
23-6-2021 21:02:53 - Ch=3 size=158 tt=20:06:55.088 x=1120 Q.f=65520 Q.v=86
23-6-2021 21:02:53 - Ch=3 size=278 tt=20:06:55.088 x=1232 Q.f=65520 Q.v=85
23-6-2021 21:02:53 - Ch=3 size=268 tt=20:06:55.088 x=1344 Q.f=65520 Q.v=84
23-6-2021 21:02:53 - Ch=3 size=332 tt=20:06:55.088 x=1456 Q.f=65520 Q.v=83
23-6-2021 21:02:53 -  count=14 step=1 time=72416320 y=720 y_last=720
23-6-2021 21:02:53 - Ch=3 size=388 tt=20:06:56.320 x=0 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=432 tt=20:06:56.320 x=112 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=490 tt=20:06:56.320 x=224 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=514 tt=20:06:56.320 x=336 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=418 tt=20:06:56.320 x=448 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=360 tt=20:06:56.320 x=560 Q.f=65520 Q.v=96
23-6-2021 21:02:53 - Ch=3 size=334 tt=20:06:56.320 x=672 Q.f=65520 Q.v=95
